h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	20000	1	0.332808447	0.85784918	0.000798508	0.01	0.2	0.382263776	1	-1.09E-17	0.790095518	0.965670053	0.963727822	0.100069145	0.126718769
0.5	100	0.01	0.01	0.05	20000	2	0.369124614	0.916240217	0.018334676	0.01	0.184615385	0.405339136	1	-6.49E-18	0.884271104	0.969355424	0.969214251	0.074254276	0.105838786
0.5	100	0.01	0.01	0.05	20000	3	0.577202147	0.961652527	0.010614426	0.01	0.225806452	0.410875558	1	1.64E-17	0.937102932	0.960200783	0.961128243	0.206518046	0.237204832
0.5	100	0.01	0.01	0.05	20000	4	0.301716697	0.923356753	0.000103251	0.01	0.196721311	0.412187505	1	-4.57E-17	0.866967432	0.967033695	0.966924234	0.058367126	0.087602562
0.5	100	0.01	0.01	0.05	20000	5	0.723251429	0.858118235	0.134742042	0.01	0.152542373	0.406472788	1	5.24E-17	0.874900186	0.967939462	0.965791987	0.180659021	0.212599866
0.5	100	0.01	0.01	0.05	20000	6	0.81146589	0.783721568	0.447784843	0.01	0.254545455	0.41290281	1	-3.96E-17	0.840550547	0.963702959	0.963240542	0.103154189	0.140739846
0.5	100	0.01	0.01	0.05	20000	7	0.582920209	0.901867059	0.183748751	0.01	0.2	0.41399765	1	6.71E-17	0.882396721	0.976308986	0.975784508	0.102730334	0.124804988
0.5	100	0.01	0.01	0.05	20000	8	0.587795876	0.833780472	0.021190852	0.01	0.216666667	0.432026802	1	-2.09E-18	0.927474929	0.977297085	0.977391704	0.049289185	0.078051896
0.5	100	0.01	0.01	0.05	20000	9	0.687711035	0.929897208	0.392737531	0.01	0.191489362	0.412034526	1	4.46E-17	0.917371142	0.969976136	0.969845955	0.107109351	0.135001194
0.5	100	0.01	0.01	0.05	20000	10	0.678581753	0.839471905	0.236609793	0.01	0.133333333	0.417533214	1	-2.15E-17	0.835472	0.966899243	0.966227465	0.020389997	0.037724911
0.5	100	0.01	0.01	0.05	20000	11	0.683864225	0.833883914	0.669137756	0.01	0.157894737	0.394560191	1	3.35E-17	0.847282336	0.957776812	0.958722248	0.129179573	0.159932627
0.5	100	0.01	0.01	0.05	20000	12	0.56535554	0.985303222	0.14623091	0.01	0.130434783	0.41905112	1	4.65E-17	0.924404685	0.972114662	0.972318188	-0.12702175	-0.112739146
0.5	100	0.01	0.01	0.05	20000	13	0.885904986	0.892314955	0.584907337	0.01	0.153846154	0.410120671	1	-5.83E-17	0.911471109	0.97004291	0.968820841	0.095092359	0.123201814
0.5	100	0.01	0.01	0.05	20000	14	0.714461282	0.927704888	0.271339347	0.01	0.176470588	0.411022439	1	-6.10E-18	0.873676632	0.964718823	0.966163996	0.197837552	0.231906277
0.5	100	0.01	0.01	0.05	20000	15	0.689553466	0.997096416	0.177608349	0.01	0.180327869	0.400239358	1	-4.60E-17	0.934030756	0.967710645	0.96845831	-0.029405065	-0.008151004
0.5	100	0.01	0.01	0.05	20000	16	0.64243126	0.875333047	0.064596381	0.01	0.227272727	0.407972537	1	1.97E-17	0.896240117	0.966829094	0.966855287	0.039961046	0.071708867
0.5	100	0.01	0.01	0.05	20000	17	0.690400547	0.94507094	0.009734436	0.01	0.213114754	0.421907777	1	3.55E-17	0.94752654	0.973263996	0.973269018	-0.023327327	0.000146128
0.5	100	0.01	0.01	0.05	20000	18	0.548371328	0.820410155	0.25148683	0.01	0.21875	0.400813465	1	-3.08E-17	0.853399242	0.967254025	0.967189491	0.061806724	0.09578451
0.5	100	0.01	0.01	0.05	20000	19	0.666927778	0.99930655	0.047263494	0.01	0.265306122	0.429642304	1	-4.22E-17	0.965276172	0.968216634	0.968974655	0.145169399	0.18055976
0.5	100	0.01	0.01	0.05	20000	20	0.754810773	0.919244803	0.101728482	0.01	0.166666667	0.409080217	1	4.70E-17	0.89226394	0.962188078	0.961522216	0.017458281	0.037522578
0.5	100	0.01	0.01	0.05	20000	21	0.524016587	0.880519405	0.325721809	0.01	0.156862745	0.408814057	1	3.01E-18	0.89605841	0.95977927	0.958222418	0.059472914	0.092595924
0.5	100	0.01	0.01	0.05	20000	22	0.496551584	0.898287878	0.000656153	0.01	0.275362319	0.409068976	1	1.41E-17	0.853308883	0.966099414	0.966667265	0.011834374	0.045783921
0.5	100	0.01	0.01	0.05	20000	23	0.56611977	0.934195265	0.468514902	0.01	0.051724138	0.421620084	1	5.93E-17	0.930094118	0.964173815	0.963631679	-0.05280695	-0.030839521
0.5	100	0.01	0.01	0.05	20000	24	0.293064727	0.948981107	0.000404153	0.01	0.147540984	0.417460876	1	-1.99E-17	0.896518282	0.974498734	0.9744122	-0.118094061	-0.098916898
0.5	100	0.01	0.01	0.05	20000	25	0.446381227	0.923284773	0.0392343	0.01	0.186046512	0.411419381	1	-2.08E-18	0.906973929	0.969375836	0.968058231	0.08966449	0.115372466
0.5	100	0.01	0.01	0.05	20000	26	0.708067863	0.883593838	0.185961482	0.01	0.236363636	0.388547359	1	2.56E-17	0.870487905	0.967086414	0.966984814	0.068374951	0.10397144
0.5	100	0.01	0.01	0.05	20000	27	0.482299733	0.885550878	0.010419026	0.01	0.237288136	0.411306143	1	1.54E-17	0.865495659	0.970972465	0.970842844	0.003735563	0.029107854
0.5	100	0.01	0.01	0.05	20000	28	0.497800786	0.965442072	0.060948468	0.01	0.214285714	0.412892992	1	2.47E-17	0.903663604	0.962251936	0.961188931	0.0350056	0.062628474
0.5	100	0.01	0.01	0.05	20000	29	0.755589962	0.841235867	0.742115778	0.01	0.193548387	0.389831072	1	-2.96E-17	0.816981919	0.962745449	0.962652259	0.002328443	0.032296965
0.5	100	0.01	0.01	0.05	20000	30	0.70563388	0.923144643	0.133269091	0.01	0.142857143	0.409116664	1	7.71E-17	0.908430075	0.964239696	0.964223334	-0.013277611	0.011518965
0.5	100	0.01	0.01	0.05	20000	31	0.438884979	0.907087183	0.011402874	0.01	0.150943396	0.39832668	1	-2.70E-17	0.903802987	0.971862228	0.971884427	-0.002492998	0.019001307
0.5	100	0.01	0.01	0.05	20000	32	0.306184504	0.934781071	0.009767763	0.01	0.120689655	0.40052697	1	2.89E-17	0.899897428	0.972066691	0.973057134	-0.211022834	-0.186116583
0.5	100	0.01	0.01	0.05	20000	33	0.613219564	0.903498853	0.253344508	0.01	0.26	0.396838831	1	4.96E-17	0.874342453	0.966740556	0.968083019	-0.016042879	0.024478401
0.5	100	0.01	0.01	0.05	20000	34	0.479007996	0.900483636	0.005413132	0.01	0.226415094	0.422908802	1	-3.47E-17	0.866338636	0.975504401	0.97532335	-0.095323674	-0.066380052
0.5	100	0.01	0.01	0.05	20000	35	0.39006872	1.005822405	0.000453275	0.01	0.236363636	0.417859335	1	-5.45E-18	0.897102579	0.966463732	0.965878076	0.067560346	0.097008152
0.5	100	0.01	0.01	0.05	20000	36	0.525145628	0.783320738	0.046999912	0.01	0.163636364	0.424631796	1	2.87E-17	0.801692656	0.967552662	0.967044091	0.010559469	0.037570222
0.5	100	0.01	0.01	0.05	20000	37	0.141832627	0.883202074	0.000553342	0.01	0.254901961	0.416596388	1	4.83E-18	0.865005874	0.969283574	0.969074488	0.015446343	0.036441795
0.5	100	0.01	0.01	0.05	20000	38	0.684477128	0.927735201	0.184640259	0.01	0.24	0.407116276	1	4.36E-18	0.915650932	0.96787478	0.96750399	0.268340508	0.296144703
