h2_p,N_causal_SNPs,vr,freq_r,k,N_samples,power,penetrance,mean_prs_cases,h2_poly_est
0.1,100,0.01,0.005,0.02,1000,0.03,0.13766704147,0.22788657265,0.0989248817
0.1,100,0.01,0.005,0.02,2000,0.03,0.13298519658,0.23292757649,0.09920932156
0.1,100,0.01,0.005,0.02,3000,0.05,0.13142533359,0.23376049394,0.09916512761
0.1,100,0.01,0.005,0.02,5000,0.08,0.13417957789,0.23778442866,0.09926895689
0.1,100,0.01,0.005,0.02,10000,0.14,0.13492854882,0.23769107552,0.09915308573
0.1,100,0.01,0.005,0.05,1000,0.06,0.23465991117,0.20259659764,0.0989248817
0.1,100,0.01,0.005,0.05,2000,0.04,0.2410835923,0.20398835141,0.09920932156
0.1,100,0.01,0.005,0.05,3000,0.09,0.24553098697,0.20516712039,0.09916512761
0.1,100,0.01,0.005,0.05,5000,0.14,0.2448527425,0.20328076293,0.09926895689
0.1,100,0.01,0.005,0.05,10000,0.23,0.24576374638,0.2039912367,0.09915308573
0.1,100,0.01,0.005,0.1,1000,0.07,0.34909050345,0.17180654151,0.0989248817
0.1,100,0.01,0.005,0.1,2000,0.11,0.36694936228,0.17447980417,0.09920932156
0.1,100,0.01,0.005,0.1,3000,0.12,0.37371039746,0.17313398802,0.09916512761
0.1,100,0.01,0.005,0.1,5000,0.15,0.378890181,0.17353738853,0.09926895689
0.1,100,0.01,0.005,0.1,10000,0.36,0.37753992208,0.17434416764,0.09915308573
0.1,100,0.01,0.01,0.02,1000,0.03,0.08910756666,0.233960614,0.0989248817
0.1,100,0.01,0.01,0.02,2000,0.02,0.08283058787,0.23750227143,0.09920932156
0.1,100,0.01,0.01,0.02,3000,0.06,0.08406888945,0.2355910459,0.09916512761
0.1,100,0.01,0.01,0.02,5000,0.06,0.08812217769,0.23860578105,0.09926895689
0.1,100,0.01,0.01,0.02,10000,0.08,0.08809179713,0.23850183012,0.09915308573
0.1,100,0.01,0.01,0.05,1000,0.05,0.17119332309,0.2035491117,0.0989248817
0.1,100,0.01,0.01,0.05,2000,0.07,0.16304688533,0.2050713604,0.09920932156
0.1,100,0.01,0.01,0.05,3000,0.12,0.16301134361,0.20468936894,0.09916512761
0.1,100,0.01,0.01,0.05,5000,0.15,0.17040214212,0.20332860449,0.09926895689
0.1,100,0.01,0.01,0.05,10000,0.15,0.17062082737,0.20418768219,0.09915308573
0.1,100,0.01,0.01,0.1,1000,0.06,0.26482749777,0.17166632097,0.0989248817
0.1,100,0.01,0.01,0.1,2000,0.09,0.26903111917,0.17479065314,0.09920932156
0.1,100,0.01,0.01,0.1,3000,0.1,0.27076726591,0.17316765987,0.09916512761
0.1,100,0.01,0.01,0.1,5000,0.17,0.28053596475,0.17312964985,0.09926895689
0.1,100,0.01,0.01,0.1,10000,0.27,0.27855101293,0.17402238262,0.09915308573
0.1,100,0.01,0.02,0.02,1000,0.02,0.05989704266,0.23065326892,0.0989248817
0.1,100,0.01,0.02,0.02,2000,0.04,0.0591433735,0.2336770816,0.09920932156
0.1,100,0.01,0.02,0.02,3000,0.09,0.06067110834,0.23489413532,0.09916512761
0.1,100,0.01,0.02,0.02,5000,0.07,0.0579697631,0.23889414069,0.09926895689
0.1,100,0.01,0.02,0.02,10000,0.11,0.05839418927,0.23898815183,0.09915308573
0.1,100,0.01,0.02,0.05,1000,0.04,0.12646057766,0.20437357038,0.0989248817
0.1,100,0.01,0.02,0.05,2000,0.09,0.12454696707,0.20474332617,0.09920932156
0.1,100,0.01,0.02,0.05,3000,0.16,0.12726348077,0.20471397524,0.09916512761
0.1,100,0.01,0.02,0.05,5000,0.14,0.12489879844,0.20325521686,0.09926895689
0.1,100,0.01,0.02,0.05,10000,0.13,0.12645105,0.20442091974,0.09915308573
0.1,100,0.01,0.02,0.1,1000,0.06,0.21080882013,0.17306488236,0.0989248817
0.1,100,0.01,0.02,0.1,2000,0.1,0.21757802049,0.17467294193,0.09920932156
0.1,100,0.01,0.02,0.1,3000,0.18,0.21924871898,0.17359882267,0.09916512761
0.1,100,0.01,0.02,0.1,5000,0.14,0.21647814861,0.17354600884,0.09926895689
0.1,100,0.01,0.02,0.1,10000,0.18,0.21632883534,0.17460421293,0.09915308573
