h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	5000	1	0.720211102	0.888712529	0.364454653	0.01	0.085106383	0.411336748	1	-8.79E-18	0.847341842	0.979825018	0.979876131	-0.10381738	-0.096139124
0.5	100	0.01	0.01	0.05	5000	2	0.944432637	1.205059686	0.04095992	0.01	0.109489051	0.677334373	1	1.32E-18	1.263279797	0.985864908	0.985447942	0.044499994	0.056487995
0.5	100	0.01	0.01	0.05	5000	3	0.325975885	0.795912322	0.000109622	0.01	0.16	0.356905418	1	-3.37E-17	0.783963396	0.974236837	0.973288717	-0.000237401	0.011933731
0.5	100	0.01	0.01	0.05	5000	4	0.714339999	0.943682847	0.053403987	0.01	0.165048544	0.416818719	1	4.51E-17	0.937428757	0.981985221	0.981763019	-0.008318444	0.008796346
0.5	100	0.01	0.01	0.05	5000	5	0.651445867	0.926704788	0.206514028	0.01	0.153846154	0.44100228	1	-2.34E-17	0.966491312	0.979017984	0.979054839	0.054198381	0.065348722
0.5	100	0.01	0.01	0.05	5000	6	0.856547319	1.172176068	0.000322894	0.01	0.192307692	0.528465413	1	-2.65E-17	1.111371343	0.980645039	0.980826532	-0.094882005	-0.085407825
0.5	100	0.01	0.01	0.05	5000	7	0.7274367	0.999414545	0.081499803	0.01	0.148148148	0.461787431	1	1.63E-17	0.972163529	0.98259365	0.982538453	0.002570299	0.013570329
0.5	100	0.01	0.01	0.05	5000	8	0.39168906	1.027045314	9.19E-05	0.01	0.158415842	0.568749512	1	3.90E-18	1.014859644	0.985127653	0.984728651	-0.047523895	-0.036281573
0.5	100	0.01	0.01	0.05	5000	9	0.486882527	0.998658633	0.053095097	0.01	0.168831169	0.446085569	1	2.80E-17	0.955972765	0.978920122	0.979342635	-0.049483023	-0.037020822
0.5	100	0.01	0.01	0.05	5000	10	0.807010556	0.993269289	0.011467124	0.01	0.234567901	0.441864254	1	-3.08E-17	0.935960733	0.9806599	0.980628886	-0.061430756	-0.046690878
0.5	100	0.01	0.01	0.05	5000	11	0.471436081	0.921372156	0.000354742	0.01	0.156862745	0.424360245	1	2.35E-17	0.901508204	0.981874415	0.981929797	-0.089176263	-0.079006802
0.5	100	0.01	0.01	0.05	5000	12	0.490900972	0.917434988	0.023288791	0.01	0.130952381	0.370750107	1	-1.30E-17	0.883963096	0.980278789	0.980189574	-0.069074306	-0.057290907
0.5	100	0.01	0.01	0.05	5000	13	0.609597809	1.045323985	0.019307558	0.01	0.244186047	0.468730718	1	-1.29E-17	1.017833139	0.98427559	0.984652171	0.099658381	0.121017425
0.5	100	0.01	0.01	0.05	5000	14	0.720207875	0.836273679	0.113294345	0.01	0.12037037	0.384210203	1	3.02E-17	0.837468701	0.976716393	0.976591602	-0.098822863	-0.088298288
0.5	100	0.01	0.01	0.05	5000	15	0.865428988	0.993848266	0.057088439	0.01	0.109243697	0.47182257	1	4.45E-18	1.022316741	0.975290754	0.975196585	-0.061884648	-0.053147021
0.5	100	0.01	0.01	0.05	5000	16	0.735448644	1.055822449	0.116787089	0.01	0.196078431	0.508548631	1	9.37E-19	1.006924334	0.983610636	0.983089124	0.063653673	0.078554384
0.5	100	0.01	0.01	0.05	5000	17	0.588962559	1.030898273	0.009574194	0.01	0.197916667	0.546966199	1	-2.05E-18	0.98389545	0.980904116	0.981839581	-0.00077811	0.016750118
0.5	100	0.01	0.01	0.05	5000	18	0.679853863	1.011703099	0.004453684	0.01	0.12037037	0.479318005	1	-1.89E-17	1.009113031	0.981385774	0.981903171	-0.105518484	-0.091031145
0.5	100	0.01	0.01	0.05	5000	19	0.881038095	1.13611102	0.232985359	0.01	0.21686747	0.543947968	1	-4.20E-17	1.109324325	0.982857731	0.98304493	0.015392822	0.032875862
0.5	100	0.01	0.01	0.05	5000	20	0.728527117	1.032818801	0.039327477	0.01	0.18699187	0.484206462	1	2.29E-17	1.004283839	0.980024951	0.980229532	0.016351527	0.029049737
0.5	100	0.01	0.01	0.05	5000	21	0.685839935	1.10229488	0.009587461	0.01	0.210526316	0.537467083	1	-8.20E-17	1.104696933	0.982051938	0.98184488	-0.112468299	-0.099194967
0.5	100	0.01	0.01	0.05	5000	22	0.908774326	1.100226475	0.176279066	0.01	0.122807018	0.491594201	1	5.71E-18	1.115585532	0.979392324	0.979350852	-0.008794425	0.00416896
0.5	100	0.01	0.01	0.05	5000	23	0.813106426	0.909159751	0.295451447	0.01	0.172727273	0.440179598	1	2.39E-18	0.900026489	0.97741561	0.976894594	-0.01535452	-0.001512687
0.5	100	0.01	0.01	0.05	5000	24	0.651418178	0.928830068	0.01218419	0.01	0.153846154	0.460608768	1	-2.30E-17	0.879237596	0.981424316	0.981153408	-0.059425401	-0.042792261
